ativo,data,preco,valor,dividendo
hgbs,2016-07-31,182.4,211.56,1.38
hgbs,2016-08-31,192,214.97,1.38
hgbs,2016-09-30,200,215.02,1.38
hgbs,2016-10-31,202.2,211.01,1.38
hgbs,2016-11-30,199.9,211.61,1.38
hgbs,2016-12-31,202.4,211.61,1.38
hgbs,2017-01-31,208.1,213.41,1.38
hgbs,2017-02-28,233.6,213.43,1.38
hgbs,2017-03-31,220,217.14,1.24
hgbs,2017-04-30,213.7,217.14,1.24
hgbs,2017-05-31,219.8,216.69,1.24
hgbs,2017-06-30,216.2,216.58,1.24
hgbs,2017-07-31,214.5,217.66,1.24
hgbs,2017-08-31,220,215.29,1.24
hgbs,2017-09-30,240,215.56,1.24
hgbs,2017-10-31,245.4,215.37,1
hgbs,2017-11-30,230.4,215.57,1.03
hgbs,2017-12-31,238,228.97,1.15
hgbs,2018-01-31,245.9,230.09,1.2
hgbs,2018-02-28,236.9,231.54,1.2
hgbs,2018-03-31,239,231.47,1.2
hgbs,2018-04-30,244,231.37,1.2
hgbs,2018-05-31,227.3,231.01,1.2
hgbs,2018-06-30,202.2,230.43,1.2
hgbs,2018-07-31,198.99,231.84,1.15
hgbs,2018-08-31,198.2,231.76,1.15
hgbs,2018-09-30,201.25,232.21,1.15
hgbs,2018-10-31,213.41,221.95,1.15
hgbs,2018-11-30,221.35,221.9,1.35
hgbs,2018-12-31,237.4,221.58,1.52
hgbs,2019-01-31,238.5,223.98,1.4
hgbs,2019-02-28,249.98,224,1.4
hgbs,2019-03-31,254,224.27,1.4
hgbs,2019-04-30,255.7,224.12,1.4
hgbs,2019-05-31,259.99,223.46,1.4
hgbs,2019-06-30,253.27,223.3,2
hgbs,2019-07-31,250.9,216.46,1.4
hgbs,2019-08-31,254,216.86,1.4
hgbs,2019-09-30,254.7,216.93,1.4
hgbs,2019-10-31,279,222.14,1.4
hgbs,2019-11-30,285.99,224.59,1.4
hgbs,2019-12-31,301,241.94,1.4
hgbs,2020-01-31,289.2,240.43,1.4
hgbs,2020-02-29,280.72,238.02,1.4
hgbs,2020-03-31,219,222.47,0.9
hgbs,2020-04-30,212,222.47,0.35
hgbs,2020-05-31,205.25,224.65,0.35
